texts,pm,pp,np
总觉得你的屁股这次好像有点歪，完整视频是连贯的很简单的事你这种洗法要崩人设的哦,负向,0.2328,0.7672
不一样的，说破天，这俩女的也是无意识媚外……那个根本不是员工…拿出实锤证据来，我就道歉……,负向,0.0001,0.9999
就是抓住机会干外国品牌,正向,0.9419,0.0581
你说“开局一张图，过程全靠旁白”就不对了，人家是有视频的，引燃舆情的对话是那两个工作人员自己亲口说的，你这怪不到发布人头上，更怪不到网友头上,负向,0.0003,0.9997
飞扬也没了，取关吧,负向,0.0049,0.9951
宝马又不是自己人，他卖的不好，得益的可能是中国车企，高兴还来不及了,负向,0.0137,0.9863
同样的生活，贵在精神的高尚！快乐的忙，忙的快乐，才应该是生活的模样！,正向,0.9993,0.0007
喜欢动物可以但是还能搞出饭圈甚至极端崇拜来我真的讲道理之前有饭圈出来的时候我就很我去过成都好几次但一次都没去看过 就觉得 没必要,负向,0.0936,0.9064
回复@不要随便炸号啊 的表态:恭谢。,负向,0.0167,0.9833
精神分裂，把人放在那样的环境里怎么会不疯呢,负向,0.1333,0.8667
原来他是拐二代,正向,0.9401,0.0599
拐二代,正向,0.8874,0.1126
菊花真的是坏,负向,0.0266,0.9734
这家伙还有这么多拥趸我是想不通的,负向,0.0566,0.9434
@逍遥自在的城市农民: 他还认同官方对胡鑫宇案的定调,正向,0.9578,0.0422
王就是被体制抛弃的狗，一直梦想着重回体制的日子。,正向,0.7655,0.2345
他们值得，当时不好好处理的结果,正向,0.8533,0.1467
山东出过的事少吗,负向,0.0456,0.9544
呵呵，徐州铁链女可是山东人转手的,正向,0.925,0.075
唐山真刑，还有专业报仇，哈哈，黑恶势力猖獗！,正向,0.894,0.106
如果说恶性事件，估计每个地方都有恶性事件，现在这些网上出现的是只不过不是在他们那，所以随意贬低招黑。大家还是要理性,负向,0.0,1.0
大家早就忘了淄博烧烤打人事件了,负向,0.1527,0.8473
西安地铁昨天刚破历史客流，462 万人,负向,0.3323,0.6677
淄博火热，欢迎来唐山答:我们是来消费的，不是来销户的,正向,0.7172,0.2828
地铁撒泼女被治大快人心,中性,0.5005,0.4995
wow看着好棒啊,正向,0.9999,0.0001
什么世道,负向,0.3179,0.6821
已阅，这是个好问题，我小舅舅就是。,负向,0.4188,0.5812
也没有，这个号它就是什么都发的，我看了也没有极端厌女，只是会发表个人的观点。账号不重要，没这个也会有其他的号，只是它碰巧在热门第一。反正我忍不了不吵架的，人家都亲了还不能让我骂两句吗,负向,0.005,0.995
up,正向,0.9998,0.0002
有没有大v破解这个人的营销洗脑拱火啊，看到因为他给新兰、兰招黑真的是要气死,负向,0.0009,0.9991
有这个功夫你都找到卖票的了,正向,0.7981,0.2019
周纯一根手指换来了一个疯婆娘童养媳,负向,0.0283,0.9717
关注度高了，当博主也需要强大心脏。姐姐不要在意这些，1000个粉丝里大部分是像我一样希望获取有益知识、信息、积极能量的人，少部分人是容易“发疯的”。不过很容易因为这些少数分子影响心情，不希望您不开心，深夜过来发声支持,正向,0.9576,0.0424
是的，二极管,正向,0.8488,0.1512
头部引战 底层互殴,正向,0.7672,0.2328
很多就是故意引战，拉黑就行,负向,0.0018,0.9982
及时拉黑就好，自己的一亩三分地怎么能让别人随便来撒野,负向,0.0015,0.9985
不与夏虫语冰。拉黑处理,负向,0.0002,0.9998
还是姐姐会说，终于说出了我心里的话。,正向,0.9258,0.0742
拉黑拉黑，多说一句都是浪费时间。,负向,0.0,1.0
女权本来就是这样的,负向,0.3491,0.6509
我昨天才看到有💙解到处造谣说那个人是擦披皮，我踏马吐死谁吃饱了没事干披皮骂自己,负向,0.0009,0.9991
你想让编剧死,负向,0.0008,0.9992
这位同志，不利于团结的“铁🔒链🔒女”不要说,负向,0.0197,0.9803
中国对这种边缘性人物关心太太太少了，看电影这么久以来，没有任何导演会去关心和刻画，韩国好歹有一个李沧东，但是社会包含性也没有高到哪里去。反正我当时第一次通过电影了解到的时候，深受震撼,负向,0.0594,0.9406
宝,正向,0.9954,0.0046
讲道理我不是很喜欢这个youtuber，他有点为了批判而批判的意思,负向,0.0017,0.9983
反中罢了,负向,0.0051,0.9949
现代法治社会是建立在权利制约和社会保障的基础上的，如果基础没有建设好，在现代国家看起来再合理合法的判决，也会没有什么意义。,负向,0.0599,0.9401
听的时候也觉得这个qj的论调有点故意“哗众取宠”的意味。但听完全部内容，再结合翻转电台当时那期special节目《从盲山到怒江，同理心与正义感的事实根基》，大概能理解应然和实然间的差异。这背后还是有现实中国社会巨大的发展不均衡，以至于人群关注和理解的很多基本价值甚至都是不完全一致的。,负向,0.0294,0.9706
农民过去深深的苦难，只是今天城里键盘侠自我感动的题材而已。。。键盘侠关注的只是自己的情绪是否被平复了而已。。。,正向,0.8119,0.1881
他想表达的是“要对制度批判而不要对个人苛责”，节目中他一直重申的几句话我觉得没有问题。至于这句“不是太重而是太轻”，确实有点标题党耸人听闻了,负向,0.008,0.992
其实他讲的那个例子很实在 当年搞义务教育法 那些山里面送孩子去上学都送不起的人大有人在 如果你硬要追求成文法 当初就应该挨家挨户一个个都抓进去,负向,0.3095,0.6905
本身立法就有争议，到了司法就更是,负向,0.015,0.985
他只是一个清醒的，正常的人，一个有良知的媒体人。,负向,0.207,0.793
喜欢看留美派和留日派互相看不上，王局自诩高人xzg联邦一等。贼有意思,正向,0.9725,0.0275
我不知道有多少人关心的是判决轻重，在我看来，这就不是要点。真正的要点是，铁链女究竟究竟经历了什么（真相）？受害的或追求正义的人什么时候能获得自由。,负向,0.0008,0.9992
我小时候农村那些疯子就是关着的，甚至就是被铁链拴住的，你不关他可能就跑了，出去伤害自己也伤害别人，一个家庭如果有一个疯子确实经济上会很艰难,负向,0.0443,0.9557
相对这个荒唐现实和将长期存在的荒唐现实，这个判决本身的荒唐压根啥也算不上……个人体感 看过好几个被国内🈲了的男知识分子，平时爱谈民意，但对于女性相关事件时难掩心底“跟国家大事相比这也算个事?”的态度,负向,0.0006,0.9994
youtober是什么鬼？加上个r,负向,0.0009,0.9991
"看王局的铁链这期，我觉得他是通过自己的记者经历提供另一个视角，其实也就是另一个社会问题，多一个视角，多一种思考的方法，他推特上说的很多,未见的能认同，但是拍案这个节目就是去主观的讲自己理解的角度，我觉得还不错",正向,0.9875,0.0125
一部分赞同 一部分完全不赞同 1.小梅花最初就是被治病为由拐卖的 2.小梅花的精神疾病的严重性没有被真正评估 她是严重到必须要被铁链拴着吗 3.为什么觉得小梅花的生存处境得到了提升 被拐卖被强奸 生育八子是更好的生活吗？（明明这样更没有人权,负向,0.0002,0.9998
删了重发：还没看视频，但是能说出来判重了这种话，在我看来就是不把女人当人看。这件事里有一个女人（以及类似事件里的女人）被精神和肉体的折磨了那么多年，可以说一生都被毁了。不管怎么给加害人找角度，女性就是最无辜的受害者。这次轻了，其他的被拐女性怎么办？未来的案子怎么办？,负向,0.0,1.0
这一期王局的观点比较新颖，我也不知道如何反驳。虽然他始终保持着批判性思维，但是如果没有批判，人类社会就不会进步,负向,0.3263,0.6737
"王局的立场是基于""铁链女""是天生的精神病患者这一前提, 如果这个事实成立, 王局的说法没什么问题. 而有些人认为她是后天的精神病患者, 结合拐卖妇女的以往案例, 认为判轻了",负向,0.3907,0.6093
这是把女人不当人罢了。我呸啊。把女人当狗肉，对白左say no,负向,0.0,1.0
然而他更多说的是监管上的缺失的判罚的正当性，解决更多“铁链女”的方法是先找到原因再具体实施方法，不以解决民生问题的判决都是耍流氓……,负向,0.0114,0.9886
是被红毛药酒给搞了吧,负向,0.0003,0.9997
法律,负向,0.0413,0.9587
有些恶是因为贫穷而不是没普法,负向,0.0013,0.9987
因为她不是,负向,0.0236,0.9764
人家不感兴趣而已，就像你遛狗不栓绳也不觉得理亏，是不是很麻木呀,负向,0.0005,0.9996
你这就以偏概全了，我也徐州的，你不了解历史情况，不能盲目定论。,负向,0.1832,0.8168
@师伟微博   它说是境外势力搞的，,负向,0.0034,0.9966
你遛狗不栓绳不也蛮麻木的？,负向,0.0087,0.9913
被封号的不单是你，为什么不觉得微博的问题比徐州更大？,负向,0.0069,0.9931
不止徐州，不止…,正向,0.9101,0.0899
太对了,正向,0.9927,0.0073
22年湖南对拐卖妇女宣判51起，还是关心关心你们湖南吧,负向,0.1531,0.8469
50-80后不都是这样，还得让90和00后整顿职场，消灭官僚，改变世界🤔,负向,0.0191,0.9809
国内早年哪个地方的人不麻木那，现在从新认识世界年轻人斗图躺平了,正向,0.869,0.131
鸟地方的人是真的坏！,负向,0.0045,0.9955
你满足我对中年油腻男人的所有思维定势挺好,正向,0.9977,0.0023
好吧 一样的油腻  工具人男主说一些土味情话发过期工业糖精,负向,0.0058,0.9942
我靠，文案跟正文就像两个人写的一样,负向,0.0006,0.9994
电视台也有分工的，你要看这种可以看法制频道，而不是电影频道,负向,0.3515,0.6485
这个事情本质上不是管外国动画片的事，是有一大群中国小孩叫嚣着自己愿意当小三,负向,0.0004,0.9996
热知识，cctv6是电影频道,正向,0.8211,0.1789
建议去看看法制频道,正向,0.7164,0.2836
人家电影频道点评电影怎么你了,负向,0.0051,0.9949
不好意思看不到你的评论,负向,0.0094,0.9906
李幼斌演的 拉帮套,正向,0.8988,0.1012
从落后山村、今后孩子抚养的角度出发，轻判是可以理解的，但我认为也是片面的，如果支持轻判那最大的受害者被拐卖多次的女方的权利肯定没有得到充分的保障，王局也提了我们应该接受不同观点 重判还是轻判并不是重点，更应注重重判或轻判带来的负面影响，显然政府应负起更多的责任，但这是目前所不足的,负向,0.0065,0.9935
这个话固然是对的，但王局这次有点偏执，他一开始就认为不是人口贩卖，后来观点一直沿着这个方向去的,正向,0.8562,0.1438
大多数人只是在网上宣泄自己的正义感，很少有人会关注真正的底层社会，精神病人的真实的生活状况。,负向,0.2451,0.7549
一个国家的发达不是看有多少航母多少高铁，是要看底层老百姓的生活过得怎么样！,负向,0.1878,0.8122
要有高尚的道德，而不是有高尚的道德感。 这些人不会反思的，只是固执于自己的正义观。,负向,0.1058,0.8942
被强暴虐凌，寒冬里孤苦无依，看了令人潸然泪下。这一家子畜生恶魔。,负向,0.0101,0.9899
确实,正向,0.7674,0.2326
被强暴虐凌，寒冬里孤苦无依，看了令人潸然泪下。这一家子畜生恶魔。,负向,0.0101,0.9899
确实,正向,0.7674,0.2326
那你多笑笑,负向,0.1583,0.8417
说全国哪里没这种情况来开脱的，就真的很恶心。,负向,0.0002,0.9998
我一直觉得在我们的FL环境下，学政法的同学是不是都感觉很抑郁啊,正向,0.8222,0.1778
老师说根据无罪推定，控方缺乏指控犯罪嫌疑人强奸的直接证据……虽然知道这不能当作一回事，但是我还是想说，证据不就摆在那吗，那八个活生生的人。,负向,0.0014,0.9986
法律的本质是什么，你们这些人还不懂？,负向,0.0001,0.9999
回复@一箱可乐蛋_百事版:缺乏指控犯罪嫌疑人强奸的直接证据，的原因是无法认定是非法婚姻前就已实行强奸，还是婚姻之后。,负向,0.0003,0.9997
若侵权请告知删除。,负向,0.0058,0.9942
图片评论,负向,0.1473,0.8527
魔鬼当道,正向,0.9871,0.0129
强扭的瓜不甜，一个人、一群人再怎么奋斗、奋斗得再好，别人也有不喜欢ta / tamen 的自由,正向,0.9048,0.0952
error,error,error,error
这就是血脉。,正向,0.9121,0.0879
谢谢你这么久的坚持,正向,0.9997,0.0003
谢谢你,正向,0.993,0.007
谢谢你,正向,0.993,0.007
奇幻世界,正向,0.8712,0.1288
世界因为有善良者、正义者而美丽！,正向,0.9998,0.0002
error,error,error,error
谢谢你,正向,0.993,0.007
泪目了,正向,0.9256,0.0744
感谢。祝小花梅能过上属于她的生活,正向,0.9988,0.0012
一路有你！一路陪伴！,正向,0.9994,0.0006
气得我饭都吃不下了,负向,0.1019,0.8981
奇葩,负向,0.0012,0.9988
你们真的很勇敢！我都不敢关注这件事了，知道的越多又无能为力，心越痛,负向,0.2332,0.7668
如果还活着为什么连一张照片都没有？,负向,0.0005,0.9995
？“铁链女”？？,负向,0.0001,0.9999
小花梅早已不是原来的小花梅,负向,0.2271,0.7729
苦啊,负向,0.0332,0.9668
这是根本问题，杀一个董，解决不了丝毫得问题。精神病人该怎么悲惨还是怎么悲惨,负向,0.0,1.0
没有关系，越来越多的人正在受到教育，正在醒来，希望正之于绝望，总是存在的，启蒙的人在这个社会占据着越来越多，虽然不是官员的地位，总是会一点点变好的，告诉孩子们什么是公平，正义和法治，我说的真的法治不是印在广场上那个,正向,0.6455,0.3545
解决不了很笨的问题的,负向,0.1178,0.8822
那一代人没接受多少教育，而且人生大部分时间都在各种运动和接受洗脑。自己的价值观和普世价值观有差异。,负向,0.0382,0.9618
那你就多让她了解一些案例，比如董珊珊案，打破她对男人的幻想,负向,0.0048,0.9952
还是太轻。毁了一个人的一辈子，坐十年牢就可以，真轻松。,负向,0.0039,0.9961
居然没有强奸罪？？,负向,0.0003,0.9997
没有权利哪来义务。当社会上的人举起自以为是的道德大棒，实现自以为是的正义，这哪里是救援，这是二次伤害。判的太重了,负向,0.0001,0.9999
应该死刑！不能让犯罪成本这样低！,负向,0.0002,0.9998
这个判决跟法治没有半毛钱关系！,负向,0.0008,0.9992
长时间强奸，囚禁，虐待，拐卖真不多。,负向,0.0018,0.9982
还众所周知的交待,负向,0.2106,0.7894
北电南赫柱那个怎么删了,负向,0.0292,0.9708
哦,正向,0.9829,0.0171
支持判决。,正向,0.9958,0.0042
成本与代价的冲突，不过更倾向于惩戒，毕竟有人掏鸟窝都能10年。,负向,0.1015,0.8985
好惨一光棍,负向,0.0457,0.9543
文明的判决！,正向,0.9708,0.0292
正义谢谢,正向,0.999,0.001
徐州市中级人民法院认为，被告人董志民虐待家庭成员，情节恶劣，构成虐待罪。。。好一个家庭成员,负向,0.1687,0.8313
都看好自己的孩子吧,正向,0.8042,0.1958
重要的是是司法起的作用，还是领导的吩咐？这点很重要。,负向,0.2104,0.7896
唏嘘啊9年？？？,负向,0.0004,0.9996
很多人都说判轻了我也这么觉得，但是今天看到一个大v说判的太重了，原因是说铁链女是一个精神病人，如果当年董某没有买的话她就会到处流浪也许结局更惨，现在人家好好一家人妻子关精神病院，孩子进孤儿院，丈夫进监狱，比之前更惨！中国贫穷地区对待精神病患者普遍都是关起来或锁起来，铁链女不是个例,负向,0.0019,0.9981
判得太轻了,负向,0.001,0.999
买卖妇女罪，故意伤害罪，强奸罪怎么没有？,负向,0.0005,0.9995
只有9年  这个男人毁了一个女人的一生  也就只判了9年,负向,0.0004,0.9996
如今的人谁不是带着枷锁生存！,负向,0.0255,0.9745
被成功转移了视线，止损了。问题的关键不是董，而是“铁链女”。铁链女是小花梅吗？她自由了吗？人们可以自由去探望她吗？他可以自由倾诉吗？？？,负向,0.0011,0.9989
TMD,负向,0.0005,0.9995
这就是结局。。。,负向,0.0494,0.9506
都按家庭关系虐待罪处理，无语，强奸精神病患者，居然没有按强奸罪,负向,0.0001,0.9999
这个案件，稍微有点人性有点良知的人无不咬牙切齿！,负向,0.0049,0.9951
法治社会建设任重道远,正向,0.8831,0.1169
我和刑法学权威老师观点一致,正向,0.9263,0.0737
就这么塑造三观，,负向,0.0036,0.9964
我也是这么认为的。,正向,0.8002,0.1998
事确实这么个事，但是真判强奸对这几个孩子的心理健康肯定会有剧烈影响,负向,0.0011,0.9989
怀疑这个强奸受其他因素影响，检察院是不是做了相对不起诉。毕竟法院是不诉不理啊,负向,0.0001,0.9999
看了一下说有利于被告原则，不确定女的是之前疯还是后来疯的，就，考虑小孩子吧,负向,0.0021,0.9979
实务界和法考界不一样,正向,0.7097,0.2903
门牙也打掉了,负向,0.039,0.961
估计是法官考虑到孩子了吧，确实不符合刑法学术观点。,负向,0.0005,0.9995
徐州地方。。。自古以来。。。,正向,0.8546,0.1454
可以重判，甚至无期，问题是孩子谁来抚养？怎么解决这个家庭问题。,负向,0.0042,0.9958
于情而言，应该从重处罚，可是现在又是水治，唉，这最后会怎么判呢？,负向,0.0014,0.9986
谢关注、转发,正向,0.9973,0.0027
回复@月咏歌呗2 的表态:谢关注、点赞,正向,0.9998,0.0002
回复@用户7458791952 的表态:感谢关注、点赞,正向,0.9992,0.0008
回复@用户7458791952 的表态:谢关注、点赞,正向,0.9994,0.0006
回复@用户6753678334 的表态:谢关注、点赞,正向,0.9994,0.0006
回复@山西吕梁特大冤案A 的表态:谢关注、点赞,正向,0.994,0.006
回复@用户6610754387 的表态:谢关注、点赞,正向,0.9994,0.0006
回复@代花都 的表态:谢关注、点赞,正向,0.9998,0.0002
回复@开开心心在这里 的表态:谢关注、点赞,正向,0.9999,0.0001
回复@佛佗弟子47898 的表态:谢关注、点赞,正向,0.9997,0.0003
回复@GuziYan2017 的表态:谢谢关注、点赞,正向,0.9995,0.0005
回复@大白女神 的表态:多谢关注、点赞,正向,0.9999,0.0001
回复@闲水的理想 的表态:感谢关注、点赞,正向,0.9996,0.0004
回复@Bonbonini琪子 的表态:感谢关注、感谢点赞,正向,0.9994,0.0006
回复@桥牌ETF 的表态:谢关注、点赞,正向,0.9994,0.0006
回复@用户6454401991 的表态:谢关注、点赞,正向,0.9994,0.0006
回复@坚持正义问心无悔 的表态:谢关注、点赞,正向,1.0,0.0
回复@努力做事是人生最大的意义 的表态:谢关注、点赞,正向,1.0,0.0
回复@上海医院陪护跑腿 的表态:谢关注、点赞,正向,0.9901,0.0099
回复@清晨的普鸽 的表态:谢关注、点赞,正向,0.9995,0.0005
回复@击穿2012u 的表态:谢关注、点赞、转发,正向,0.9947,0.0053
回复@飞鸟har 的表态:谢关注、点赞,正向,0.9994,0.0006
回复@天津维权战士张金涛 的表态:谢关注、点赞,正向,0.9967,0.0033
坏多了，铁链女是被命运推到这一步的，很多人自己求的，有人比他们更惨就行,负向,0.0008,0.9992
我上网路过被骂,负向,0.0132,0.9868
这里不适合孩子长大，环境有毒。,负向,0.012,0.988
美国买玛莎拉蒂贵吗,负向,0.0931,0.9069
我都忘记她的ID了，她是真正的英雄,正向,0.9991,0.0009
没消息了,负向,0.0082,0.9918
回复@fyy776735323:@我能抱起120斤,负向,0.0804,0.9196
是乌衣？,负向,0.0055,0.9945
已经生出来的，几岁10多岁的8个孩子都怎么办？8娃妈就算是正常人也养不起，何况还受过刺激囚禁…精神有点问题，都送福利院？,负向,0.0007,0.9993
耻辱太轻了,负向,0.0002,0.9998
犯罪成本太低！严惩恶人！,负向,0.0003,0.9997
就是扯蛋，正能量还说破坏了人家婚姻家庭生活，真是瞎扯,负向,0.0016,0.9984
判太轻了，毕竟不是自己的孩子,负向,0.0045,0.9955
我们家附近就有个女的被拐卖到外地了，多年以后自己找回来了，拐卖她的人啥事没有,负向,0.0558,0.9442
鼓励拐卖写脸上,正向,0.8155,0.1845
真是思路打开了，变相鼓励。,负向,0.0387,0.9613
等国：只要把女人的子宫充分利用起来男宝干啥事我都全力支持,正向,0.97,0.03
一个都没解救吧 土匪抢了女人就不会放了,负向,0.0011,0.9989
底层婚姻都比代孕划算啊，不然咋不找代孕？经济规律才是一切都真相。,负向,0.4121,0.5879
五年换8个孩子养老，似乎还可以。以后万一有个孩子变成金凤凰，说不定还宣传成好人好事感动中国了（收留残疾妇女，多生多育）到那时顺便还能黑一波体制,负向,0.0219,0.9781
死型不行吗？,负向,0.0,1.0
小花梅家人在世的还有2位舅舅2位姨妈1个同母异父的妹妹，小花梅爸爸家也有叔叔等亲人…,正向,0.9954,0.0046
因为她不是小花梅，她叫李莹！,负向,0.3128,0.6872
这才是关注的焦点,正向,0.9936,0.0064
露馅咋办？,负向,0.0018,0.9982
她未必是李莹，但绝对不是小花梅，年龄长相口音都不对,负向,0.0006,0.9994
因为他就不是真的小花梅,负向,0.1527,0.8473
因为她不是小花梅，她叫李莹！,负向,0.3128,0.6872
公平吗？毁了人一辈子只做牢9年，出来还有8个小孩会给他养老.,负向,0.0,1.0
果然犯罪成本低，毁了一个青春靓丽的女孩，和一个家庭才判9年，呵呵，法律该改了~,负向,0.0002,0.9998
买家应该和人贩子同罪,负向,0.0094,0.9906
这个黄牙男人跟恶魔一样，比恶魔还要魔鬼,负向,0.0729,0.9271
生一个孩子就判9年才对！8个孩子判72年才合理,负向,0.0617,0.9383
怎能不失望？,负向,0.0018,0.9982
这六个县不人口普查吗,负向,0.0098,0.9902
唉也是个可怜人啊，9年的时间没了，孩子们也不知道谁照顾。。,负向,0.0103,0.9897
唉，比杀人还难受，一辈子毁了，这种应该死刑才能起到警示作用，毁了别人一生判九年未免太轻了！,负向,0.0,1.0
公正吗 ？锁了别人20年，人还疯了。估计一生都很难过。才判九年。也许再减减刑，出来还有人养老。哎......,负向,0.0001,0.9999
花花世界~❤,正向,0.9866,0.0135
孩子们怎么妥善安置？没有人关心这个吗？？,负向,0.0003,0.9997
才9年，应该终身监禁,负向,0.4375,0.5625
公平公正的处理？被拐卖人的一生都毁了啊，伤害她的人才被判了9年,负向,0.0003,0.9997
为啥不枪毙，这不是从容吗？,负向,0.0002,0.9998
二十年打底,正向,0.9711,0.0289
公平吗？毁了人一辈子只做牢9年，出来还有8个小孩会给他养老.,负向,0.0,1.0
果然犯罪成本低，毁了一个青春靓丽的女孩，和一个家庭才判9年，呵呵，法律该改了~,负向,0.0002,0.9998
买家应该和人贩子同罪,负向,0.0094,0.9906
这个黄牙男人跟恶魔一样，比恶魔还要魔鬼,负向,0.0729,0.9271
生一个孩子就判9年才对！8个孩子判72年才合理,负向,0.0617,0.9383
怎能不失望？,负向,0.0018,0.9982
这六个县不人口普查吗,负向,0.0098,0.9902
唉也是个可怜人啊，9年的时间没了，孩子们也不知道谁照顾。。,负向,0.0103,0.9897
唉，比杀人还难受，一辈子毁了，这种应该死刑才能起到警示作用，毁了别人一生判九年未免太轻了！,负向,0.0,1.0
公正吗 ？锁了别人20年，人还疯了。估计一生都很难过。才判九年。也许再减减刑，出来还有人养老。哎......,负向,0.0001,0.9999
花花世界~❤,正向,0.9866,0.0135
孩子们怎么妥善安置？没有人关心这个吗？？,负向,0.0003,0.9997
才9年，应该终身监禁,负向,0.4375,0.5625
公平公正的处理？被拐卖人的一生都毁了啊，伤害她的人才被判了9年,负向,0.0003,0.9997
为啥不枪毙，这不是从容吗？,负向,0.0002,0.9998
二十年打底,正向,0.9711,0.0289
最后一次被卖之前已经有精神病，在街上流浪了。没被栓之前是在街上自由的流浪…只是犯病的时候才被栓的。当然了，买卖是犯罪，只不过惩罚犯人了以后，从一个悲剧走向了另一个悲剧。铁链女去了精神病院，一样被栓着，8个孩子去了福利院,负向,0.0006,0.9994
糖猫儿什么都知道,正向,0.969,0.031
不不不，在15年的一个执行意见中已经提到了，虐待罪的家庭关系包括同居，所以并不是直接承认家庭成员，问题在于两人结婚时铁链女的精神是否还算正常，否则婚姻关系无效，还能多判一个强奸罪,负向,0.0018,0.9982
支持，这样才能威慑那些坏人，但是防卫过当也要坐牢吧,正向,0.9551,0.0449
弥天大。。。。。。。。。。。。。,负向,0.4103,0.5897
转发微博,正向,0.9597,0.0403
说得对，我们要的是能说服人心的正义和天下无拐,负向,0.2219,0.7781
李莹仍然被关在土匪窝,负向,0.0421,0.9579
记得那时候半夜看到王圣强说，她就是李莹。真的是扎心，透心凉。,正向,0.7427,0.2573
学下项立刚，来了就骂,负向,0.003,0.997
你的评论我喜欢，你的私信记得关,正向,0.9886,0.0114
加大力度,中性,0.5003,0.4997
  章同上，火力十足！好样的,正向,0.9983,0.0017
双引号里面的双引号要写成单引号 （我不是杠我只是强迫症😭）,负向,0.0352,0.9648
很简单的道理，但很多人选择看不见，或者看见了也无视掉，如果被人提起，还要找个理由来反驳,负向,0.0473,0.9527
//@影歌歌歌歌歌:要宏大叙事，不要关爱具体的人——节选自《要关爱具体的人》//@塘主捞鱼:实际上内网里说“丰县”这两字大家都知道是这个案件，小蓝鸟上借这个事件反Z反D的特别爱叫“铁链女”，那些人根本不关心受害者本人，只是想借这个事攻击我们。,负向,0.0012,0.9988
终于有了个法律有用的结果示范！一段时间里都郁闷至极！感觉人吃人的社会太真实了！,负向,0.1094,0.8906
不要忘了你自己的历史——安嘉和,正向,0.9764,0.0236
方块头说得好,正向,0.8739,0.1261
还有说必须要亲眼看到小红梅在哪里才算真正得到解救的 妈的 受害人的隐私对他们来说到底算什么,负向,0.0437,0.9563
。。。。,负向,0.0947,0.9053
哈哈，虽然举例不太好，不过我还是笑了,正向,0.988,0.012
下头男哈哈,正向,0.9904,0.0096
说实话就是还是项立刚更刚！那是真刚！,负向,0.2077,0.7923
要不这么叫，反zei们哪能达到他们反G、煽风点火目的？,负向,0.0004,0.9996
哈哈，典！标准“事不关己高高挂起，事若关己，暴露老底。”双标人无处不在。,负向,0.3896,0.6104
这么叫的都是大殖子吧，不知道拿了cia多少💰,负向,0.1023,0.8977
转,正向,0.9908,0.0092
转发微博,正向,0.9597,0.0403
支持,正向,0.9999,0.0001
“以斗争求和平则和平存，以妥协求和平则和平亡！” 不要妥协！坚持自己！,负向,0.0654,0.9346
在乎这些干嘛 这些人只在乎情绪呀 只想永远年轻永远热泪盈眶嘛,负向,0.0231,0.9769
胡锡进特别喜欢用铁链称呼别人,正向,0.9982,0.0018
🉑，你的态度我非常喜欢,正向,0.9927,0.0073
实际上内网里说“丰县”这两字大家都知道是这个案件，小蓝鸟上借这个事件反Z反D的特别爱叫“铁链女”，那些人根本不关心受害者本人，只是想借这个事攻击我们。,负向,0.0003,0.9997
这种人真的很离谱，“自我以上人人平等，自我一下阶级分明”,负向,0.0003,0.9997
可能一个广一个深,负向,0.1753,0.8247
那不是霸凌那是强奸囚禁强迫生育…,负向,0.0016,0.9984
...,负向,0.1267,0.8733
假如是我的话，出门无差别鲨男人,正向,0.9053,0.0947
地狱级别的吧,负向,0.0677,0.9323
颠覆人生的霸凌,正向,0.9059,0.0941
先把乌衣放了吧,负向,0.3239,0.6761
第一个想起Steve,正向,0.9769,0.0231
Repost,中性,1,0
先把亮马桥失联的人放了吧,负向,0.0265,0.9735
乌衣呢？,负向,0.0077,0.9923
一声叹息远远不够,负向,0.0106,0.9894
作为知晓面甚广的案件，判罚策略基本也符合国情（国策面前，个人意见是个P），如果真的加上QJ罪，在韭菜日渐稀少的今天，就会严重打击愿意广撒枝叶的农村贫困户的积极性。,负向,0.0057,0.9943
平反这种事情是很难很难的,负向,0.0091,0.9909
我觉得不太可能,负向,0.0536,0.9464
error,error,error,error
error,error,error,error
还有那些吃人血馒头跑去丰县董家直播赚流量的，要追究一下责任。,负向,0.0282,0.9718
Repost,中性,1,0
精神病人分不同等级的，严重程度是不同的。此案的重点在我看来是人口拐卖来的人违反妇女意愿让人生孩子算不算强奸？,负向,0.0006,0.9994
难得清醒之人,正向,0.9991,0.0009
有没有可能，铁链是为了不让人家逃跑？有没有可能，人家原本是正常人，只是被逼疯了,负向,0.0016,0.9984
这意思是不是说政府比法律说了算,负向,0.0001,0.9999
认定婚姻有效这个真的好难接受而且铁链女是不是小花梅都不一定,负向,0.0968,0.9032
同意,负向,0.0495,0.9505
常常觉得，某国法律就是个笑话。,负向,0.0661,0.9339
美国的法律本身就是社会不公的一部分,负向,0.142,0.858
error,error,error,error
error,error,error,error
非法拘禁是具有持续和连续性，没有过追诉期,正向,0.8314,0.1686
长太息,正向,0.6846,0.3154
法律得必须认清女人被拐卖生下的孩子对男人没有赡养义务，,负向,0.0071,0.9929
这份判决算是给滔天舆论一个交代,负向,0.1201,0.8799
你眉毛怎么了？高低眉,负向,0.007,0.993
这个话题，在事件刚发生的时候，一度被到处删删删,负向,0.0175,0.9825
小花梅。,正向,0.9252,0.0748
称呼之所以觉得残忍 ，是因为她的身份一直无法得到真正的确认，另外就是她遭受的苦难，让人触目惊心。但是即使全国瞩目的情况下，在最终的法律审判结果里她还是被法律归为强奸犯董某民的家庭成员，董某民没有被判强奸罪，这个才是社会和法律的奇耻大辱。,负向,0.0003,0.9997
